Function,Duration,Called,Average,Std_Dev,
ADMM_Step,135550,
size of,ADMM_Step,1,
mean of,ADMM_Step,135550,
std dev of,ADMM_Step,0,

C,2,
size of,C,1,
mean of,C,2,
std dev of,C,0,

CT,482,506,178,
size of,CT,3,
mean of,CT,388.667,
std dev of,CT,149.286,

M,5732,5326,
size of,M,2,
mean of,M,5529,
std dev of,M,203,

MT,5992,
size of,MT,1,
mean of,MT,5992,
std dev of,MT,0,

Psi,1306,1098,
size of,Psi,2,
mean of,Psi,1202,
std dev of,Psi,104,

PsiT,98374,
size of,PsiT,1,
mean of,PsiT,98374,
std dev of,PsiT,0,

U_update,5878,
size of,U_update,1,
mean of,U_update,5878,
std dev of,U_update,0,

V_update,113031,
size of,V_update,1,
mean of,V_update,113031,
std dev of,V_update,0,

W_update,385,
size of,W_update,1,
mean of,W_update,385,
std dev of,W_update,0,

X_update,6825,
size of,X_update,1,
mean of,X_update,6825,
std dev of,X_update,0,

eta_update,2760,
size of,eta_update,1,
mean of,eta_update,2760,
std dev of,eta_update,0,

fftshift,327,227,317,261,
size of,fftshift,4,
mean of,fftshift,283,
std dev of,fftshift,40.9634,

ifftshift,251,256,152,159,241,
size of,ifftshift,5,
mean of,ifftshift,211.8,
std dev of,ifftshift,46.2748,

init_Matrices,3745,
size of,init_Matrices,1,
mean of,init_Matrices,3745,
std dev of,init_Matrices,0,

precompute_H_fft,3169,
size of,precompute_H_fft,1,
mean of,precompute_H_fft,3169,
std dev of,precompute_H_fft,0,

precompute_PsiTPsi,2130,
size of,precompute_PsiTPsi,1,
mean of,precompute_PsiTPsi,2130,
std dev of,precompute_PsiTPsi,0,

precompute_R_divmat,6858,
size of,precompute_R_divmat,1,
mean of,precompute_R_divmat,6858,
std dev of,precompute_R_divmat,0,

precompute_X_divmat,1909,
size of,precompute_X_divmat,1,
mean of,precompute_X_divmat,1909,
std dev of,precompute_X_divmat,0,

r_calc,106920,
size of,r_calc,1,
mean of,r_calc,106920,
std dev of,r_calc,0,

rho_update,602,
size of,rho_update,1,
mean of,rho_update,602,
std dev of,rho_update,0,

roll,287,611,43764,54040,205,470,
size of,roll,6,
mean of,roll,16562.8,
std dev of,roll,23059.2,

runADMM,155001,
size of,runADMM,1,
mean of,runADMM,155001,
std dev of,runADMM,0,

softThresh,1556,1510,
size of,softThresh,2,
mean of,softThresh,1533,
std dev of,softThresh,23,

xi_update,6065,
size of,xi_update,1,
mean of,xi_update,6065,
std dev of,xi_update,0,

removeColumn,
size of,removeColumn,0,
mean of,removeColumn,-nan,
std dev of,removeColumn,-nan,

removeRow,
size of,removeRow,0,
mean of,removeRow,-nan,
std dev of,removeRow,-nan,

-----------------------------------------------------,
